"Identificación","HoraInicio","HoraFin","Motivo del Viaje","Día"
"1401Ezeiza22Irina2016","07:45","08:00","Al Trabajo","mar"
"1401Ezeiza22Irina2016","11:00","11:15","Volver a Casa","mar"
"1401Ezeiza22Irina2016","07:45","08:00","Al Trabajo","jue"
"1401Ezeiza22Irina2016","11:00","11:15","Volver a Casa","jue"
"1401Ezeiza22Irina2016","12:00","12:10","Comer o tomar algo","dom"
"1401Ezeiza22Irina2016","15:30","15:40","Otra cosa","dom"
"1401Ezeiza22Irina2016","15:50","16:20","Otra cosa","dom"
"1401Ezeiza22Irina2016","16:20","16:30","Recreación","dom"
"1401Ezeiza22Irina2016","19:30","19:50","Volver a Casa","dom"
"1401Ezeiza22Nicolás2016","06:50","06:55","Otra cosa","mar"
"1401Ezeiza22Nicolás2016","06:55","07:10","Por estudio","mar"
"1401Ezeiza22Nicolás2016","12:15","12:20","Otra cosa","mar"
"1401Ezeiza22Nicolás2016","12:20","12:40","Volver a Casa","mar"
"1401Ezeiza22Nicolás2016","12:40","12:45","Volver a Casa","mar"
"1401Ezeiza22Nicolás2016","06:40","06:45","Otra cosa","jue"
"1401Ezeiza22Nicolás2016","06:50","07:10","Por estudio","jue"
"1401Ezeiza22Nicolás2016","07:10","07:12","Por estudio","jue"
"1401Ezeiza22Nicolás2016","12:40","12:45","Otra cosa","jue"
"1401Ezeiza22Nicolás2016","12:50","13:15","Volver a Casa","jue"
"1401Ezeiza22Nicolás2016","10:00","10:15","Ver a alguien","sáb"
"1401Ezeiza22Nicolás2016","17:00","17:15","Volver a Casa","sáb"
"1401Ezeiza22Nicolás2016","12:00","12:10","Comer o tomar algo","dom"
"1401Ezeiza22Nicolás2016","15:30","15:40","Otra cosa","dom"
"1401Ezeiza22Nicolás2016","15:50","16:20","Otra cosa","dom"
"1401Ezeiza22Nicolás2016","16:20","16:30","Recreación","dom"
"1401Ezeiza22Nicolás2016","19:30","19:50","Volver a Casa","dom"
"1401O´Higgins. Dto 3250Jonathan2016","06:30","06:36","Otra cosa","mar"
"1401O´Higgins. Dto 3250Jonathan2016","06:40","06:45","Otra cosa","mar"
"1401O´Higgins. Dto 3250Jonathan2016","07:00","07:25","Al Trabajo","mar"
"1401O´Higgins. Dto 3250Jonathan2016","16:30","16:45","Volver a Casa","mar"
"1401O´Higgins. Dto 3250Jonathan2016","16:45","17:15","Volver a Casa","mar"
"1401O´Higgins. Dto 3250Jonathan2016","17:15","17:20","Volver a Casa","mar"
"1401O´Higgins. Dto 3250Jonathan2016","06:30","06:36","Otra cosa","jue"
"1401O´Higgins. Dto 3250Jonathan2016","06:40","06:45","Otra cosa","jue"
"1401O´Higgins. Dto 3250Jonathan2016","07:00","07:25","Al Trabajo","jue"
"1401O´Higgins. Dto 3250Jonathan2016","16:30","16:45","Volver a Casa","jue"
"1401O´Higgins. Dto 3250Jonathan2016","16:45","17:15","Volver a Casa","jue"
"1401O´Higgins. Dto 3250Jonathan2016","17:15","17:20","Volver a Casa","jue"
"1401O´Higgins. Dto 3250Jonathan2016","14:00","14:15","Otra cosa","sáb"
"1401O´Higgins. Dto 3250Jonathan2016","14:20","14:35","Buscar o dejar algo","sáb"
"1401O´Higgins. Dto 3250Jonathan2016","14:35","14:40","Buscar o dejar algo","sáb"
"1401O´Higgins. Dto 3250Jonathan2016","15:00","15:15","Volver a Casa","sáb"
"1401O´Higgins. Dto 3250Jonathan2016","12:30","12:45","Comer o tomar algo","dom"
"1401O´Higgins. Dto 3250Jonathan2016","16:00","16:10","Recreación","dom"
"1401O´Higgins. Dto 3250Jonathan2016","19:00","19:15","Volver a Casa","dom"
"1401O´Higgins. Dto 3250Priscila2016","14:00","14:15","Otra cosa","sáb"
"1401O´Higgins. Dto 3250Priscila2016","14:20","14:35","Buscar o dejar algo","sáb"
"1401O´Higgins. Dto 3250Priscila2016","14:35","14:40","Buscar o dejar algo","sáb"
"1401O´Higgins. Dto 3250Priscila2016","15:00","15:15","Volver a Casa","sáb"
"1401O´Higgins. Dto 3250Priscila2016","12:30","12:45","Comer o tomar algo","dom"
"1401O´Higgins. Dto 3250Priscila2016","16:00","16:10","Recreación","dom"
"1401O´Higgins. Dto 3250Priscila2016","19:00","19:15","Volver a Casa","dom"
"1416CacheutaEsq. Del LibertadorDarío2016","06:30","07:00","Al Trabajo","mar"
"1416CacheutaEsq. Del LibertadorDarío2016","17:00","17:30","Volver a Casa","mar"
"1416CacheutaEsq. Del LibertadorDarío2016","06:30","07:00","Al Trabajo","jue"
"1416CacheutaEsq. Del LibertadorDarío2016","17:00","17:30","Volver a Casa","jue"
"1416CacheutaEsq. Del LibertadorDarío2016","07:30","08:00","Al Trabajo","sáb"
"1416CacheutaEsq. Del LibertadorDarío2016","15:00","15:30","Volver a Casa","sáb"
"1416CacheutaEsq. Del LibertadorDarío2016","15:00","15:15","Recreación","dom"
"1416CacheutaEsq. Del LibertadorDarío2016","18:00","18:20","Recreación","dom"
"1416CacheutaEsq. Del LibertadorDarío2016","19:20","19:40","Volver a Casa","dom"
"1416CacheutaEsq. Del LibertadorVeronica2016","15:00","15:15","Recreación","dom"
"1416CacheutaEsq. Del LibertadorVeronica2016","18:00","18:20","Recreación","dom"
"1416CacheutaEsq. Del LibertadorVeronica2016","19:20","19:40","Volver a Casa","dom"
"1416CacheutaEsq. Del LibertadorLautaro2016","07:30","07:35","Otra cosa","mar"
"1416CacheutaEsq. Del LibertadorLautaro2016","07:35","07:55","Por estudio","mar"
"1416CacheutaEsq. Del LibertadorLautaro2016","12:00","12:05","Otra cosa","mar"
"1416CacheutaEsq. Del LibertadorLautaro2016","12:05","12:20","Volver a Casa","mar"
"1416CacheutaEsq. Del LibertadorLautaro2016","12:20","12:25","Volver a Casa","mar"
"1416CacheutaEsq. Del LibertadorLautaro2016","07:30","07:35","Otra cosa","jue"
"1416CacheutaEsq. Del LibertadorLautaro2016","07:35","07:55","Por estudio","jue"
"1416CacheutaEsq. Del LibertadorLautaro2016","12:00","12:05","Otra cosa","jue"
"1416CacheutaEsq. Del LibertadorLautaro2016","12:05","12:20","Volver a Casa","jue"
"1416CacheutaEsq. Del LibertadorLautaro2016","12:20","12:25","Volver a Casa","jue"
"1416CacheutaEsq. Del LibertadorLautaro2016","15:00","15:15","Recreación","dom"
"1416CacheutaEsq. Del LibertadorLautaro2016","18:00","18:20","Recreación","dom"
"1416CacheutaEsq. Del LibertadorLautaro2016","19:20","19:40","Volver a Casa","dom"
"1416Picheuta298Jorge2016","12:45","12:55","De compras","sáb"
"1416Picheuta298Jorge2016","13:10","13:20","Volver a Casa","sáb"
"1416Picheuta298Jorge2016","14:00","14:20","Por Trabajo","sáb"
"1416Picheuta298Jorge2016","17:50","18:10","Volver a Casa","sáb"
"1416Picheuta298Jorge2016","18:45","19:00","Ver a alguien","sáb"
"1416Picheuta298Jorge2016","21:00","21:15","Volver a Casa","sáb"
"1416Picheuta298Jorge2016","21:30","21:40","Recreación","sáb"
"1416Picheuta298Jorge2016","00:50","01:00","Volver a Casa","dom"
"1416Picheuta298Jorge2016","12:45","13:00","Ver a alguien","dom"
"1416Picheuta298Jorge2016","15:00","15:15","Volver a Casa","dom"
"1416Picheuta298Jorge2016","18:00","18:15","Ver a alguien","dom"
"1416Picheuta298Jorge2016","20:00","20:15","Volver a Casa","dom"
"1416Picheuta298Jorge2016","10:00","10:15","Dejar/Buscar a Alguien","mar"
"1416Picheuta298Jorge2016","10:15","10:30","Ver a alguien","mar"
"1416Picheuta298Jorge2016","12:30","12:45","Dejar/Buscar a Alguien","mar"
"1416Picheuta298Jorge2016","12:45","13:00","Ver a alguien","mar"
"1416Picheuta298Jorge2016","19:50","20:00","Dejar/Buscar a Alguien","mar"
"1416Picheuta298Jorge2016","20:00","20:10","Ver a alguien","mar"
"1416Picheuta298Jorge2016","21:30","21:40","Dejar/Buscar a Alguien","mar"
"1416Picheuta298Jorge2016","21:40","21:50","Ver a alguien","mar"
"1416Picheuta298Jorge2016","22:20","22:45","Volver a Casa","mar"
"1416Picheuta298Jorge2016","10:30","10:45","Por Trabajo","mié"
"1416Picheuta298Jorge2016","17:00","17:15","Ver a alguien","mié"
"1416Picheuta298Jorge2016","20:10","20:20","Dejar/Buscar a Alguien","mié"
